frameid,episode_id,score,duration,unclipped_reward,action,objects,relationships,goal,distance_weights,predicate_weights,example_weight
RZ_2461867_4581,,,50.0,0.0,2,"player_0 , collected_diver_0 , collected_diver_1 , lives_0 , lives_1 , lives_2 , oxygen_bar_0 , enemy_submarine_0 , enemy_1 , enemy_2 , enemy_3 , enemy_5 , enemy_6 , enemy_7 , ","facingRight , enemyFacingLeft(enemy_submarine_0) , visibleEnemy(enemy_1) , visibleEnemy(enemy_2) , visibleEnemy(enemy_3) , visibleEnemy(enemy_5) , visibleEnemy(enemy_6) , visibleEnemy(enemy_7) , visibleEnemySubmarine(enemy_submarine_0) , belowWater_surface , belowOfEnemy(enemy_1) , rightOfEnemy(enemy_2) , sameLevelAsEnemy(enemy_2) , rightOfEnemy(enemy_3) , belowOfEnemy(enemy_3) , leftOfEnemy(enemy_5) , belowOfEnemy(enemy_5) , rightOfEnemy(enemy_6) , sameLevelAsEnemy(enemy_6) , rightOfEnemy(enemy_7) , belowOfEnemy(enemy_7) , belowOfSubmarine(enemy_submarine_0) , diversNotfull , oxygenOk , ",kill_enemy,,0.3180 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0000 0.1101 0.2120 0.0002 0.0107 0.0085 0.0000,2.59
RZ_2461867_15039,,,50.0,0.0,3,"player_0 , collected_diver_0 , player_missile_0 , lives_0 , lives_1 , lives_2 , lives_3 , lives_4 , oxygen_bar_0 , enemy_submarine_0 , enemy_1 , enemy_2 , enemy_3 , enemy_4 , enemy_5 , enemy_6 , enemy_7 , ","facingRight , enemyFacingLeft(enemy_submarine_0) , visibleEnemy(enemy_1) , visibleEnemy(enemy_2) , visibleEnemy(enemy_3) , visibleEnemy(enemy_4) , visibleEnemy(enemy_5) , visibleEnemy(enemy_6) , visibleEnemy(enemy_7) , visibleEnemySubmarine(enemy_submarine_0) , belowWater_surface , rightOfEnemy(enemy_1) , aboveOfEnemy(enemy_1) , rightOfEnemy(enemy_2) , aboveOfEnemy(enemy_2) , rightOfEnemy(enemy_3) , belowOfEnemy(enemy_3) , leftOfEnemy(enemy_4) , sameLevelAsEnemy(enemy_4) , rightOfEnemy(enemy_5) , aboveOfEnemy(enemy_5) , rightOfEnemy(enemy_6) , aboveOfEnemy(enemy_6) , rightOfEnemy(enemy_7) , belowOfEnemy(enemy_7) , leftOfSubmarine(enemy_submarine_0) , belowOfSubmarine(enemy_submarine_0) , diversNotfull , oxygenOk , ",avoid_enemy,,0.2910 0.0000 0.3809 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0007 0.0502 0.0015 0.0004 0.0000 0.0011 0.0000,2.9043
RZ_2461867_6555,,,50.0,0.0,5,"player_0 , diver_0 , collected_diver_0 , collected_diver_1 , collected_diver_2 , lives_0 , lives_1 , lives_2 , oxygen_bar_0 , enemy_submarine_0 , enemy_submarine_1 , enemy_submarine_2 , enemy_submarine_3 , enemy_missile_0 , enemy_0 , ","facingLeft , enemyFacingLeft(enemy_submarine_0) , enemyFacingLeft(enemy_submarine_1) , enemyFacingLeft(enemy_submarine_2) , enemyFacingLeft(enemy_submarine_3) , visibleEnemy(enemy_0) , visibleDiver(diver_0) , visibleEnemySubmarine(enemy_submarine_0) , visibleEnemySubmarine(enemy_submarine_1) , visibleEnemySubmarine(enemy_submarine_2) , visibleEnemySubmarine(enemy_submarine_3) , visibleMissile(enemy_missile_0) , belowWater_surface , rightOfEnemy(enemy_0) , aboveOfEnemy(enemy_0) , leftOfSubmarine(enemy_submarine_0) , aboveOfSubmarine(enemy_submarine_0) , leftOfSubmarine(enemy_submarine_1) , aboveOfSubmarine(enemy_submarine_1) , leftOfSubmarine(enemy_submarine_2) , belowOfSubmarine(enemy_submarine_2) , leftOfSubmarine(enemy_submarine_3) , belowOfSubmarine(enemy_submarine_3) , leftOfMissile(enemy_missile_0) , aboveOfMissile(enemy_missile_0) , leftOfDiver(diver_0) , aboveOfDiver(diver_0) , diversNotfull , oxygenOk , ",avoid_enemy,,0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.7832,4.9162
RZ_2461867_16754,,,50.0,0.0,0,"player_0 , collected_diver_0 , collected_diver_1 , collected_diver_2 , lives_0 , lives_1 , lives_2 , lives_3 , lives_4 , oxygen_bar_0 , enemy_submarine_0 , enemy_3 , enemy_6 , ","facingLeft , enemyFacingLeft(enemy_submarine_0) , visibleEnemy(enemy_3) , visibleEnemy(enemy_6) , visibleEnemySubmarine(enemy_submarine_0) , belowWater_surface , leftOfEnemy(enemy_3) , belowOfEnemy(enemy_3) , leftOfEnemy(enemy_6) , belowOfEnemy(enemy_6) , rightOfSubmarine(enemy_submarine_0) , belowOfSubmarine(enemy_submarine_0) , diversNotfull , oxygenOk , ",kill_enemy,,0.0950 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0202 0.0194,1.475
RZ_2461867_4156,,,50.0,0.0,0,"player_0 , collected_diver_1 , collected_diver_2 , collected_diver_3 , collected_diver_4 , collected_diver_5 , lives_0 , lives_1 , lives_2 , enemy_0 , enemy_1 , enemy_2 , ","facingLeft , visibleEnemy(enemy_0) , visibleEnemy(enemy_1) , visibleEnemy(enemy_2) , aboveWater_surface , rightOfEnemy(enemy_0) , aboveOfEnemy(enemy_0) , rightOfEnemy(enemy_1) , aboveOfEnemy(enemy_1) , leftOfEnemy(enemy_2) , aboveOfEnemy(enemy_2) , diversNotfull , oxygenOk , ",unknown,,0.0000 0.5376 0.8893 0.9433 0.6415 0.2797 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000,5.7163
RZ_2461867_11652,,,51.0,0.0,7,"player_0 , collected_diver_0 , collected_diver_1 , collected_diver_2 , collected_diver_3 , collected_diver_4 , collected_diver_5 , lives_0 , lives_1 , lives_2 , lives_3 , lives_4 , oxygen_bar_0 , enemy_submarine_0 , enemy_submarine_1 , enemy_submarine_2 , enemy_submarine_3 , enemy_0 , enemy_1 , enemy_2 , enemy_6 , enemy_7 , enemy_8 , ","facingRight , enemyFacingLeft(enemy_submarine_0) , enemyFacingRight(enemy_submarine_1) , enemyFacingRight(enemy_submarine_2) , enemyFacingRight(enemy_submarine_3) , visibleEnemy(enemy_0) , visibleEnemy(enemy_1) , visibleEnemy(enemy_2) , visibleEnemy(enemy_6) , visibleEnemy(enemy_7) , visibleEnemy(enemy_8) , visibleEnemySubmarine(enemy_submarine_0) , visibleEnemySubmarine(enemy_submarine_1) , visibleEnemySubmarine(enemy_submarine_2) , visibleEnemySubmarine(enemy_submarine_3) , belowWater_surface , rightOfEnemy(enemy_0) , aboveOfEnemy(enemy_0) , rightOfEnemy(enemy_1) , aboveOfEnemy(enemy_1) , rightOfEnemy(enemy_2) , aboveOfEnemy(enemy_2) , rightOfEnemy(enemy_6) , aboveOfEnemy(enemy_6) , rightOfEnemy(enemy_7) , aboveOfEnemy(enemy_7) , rightOfEnemy(enemy_8) , aboveOfEnemy(enemy_8) , rightOfSubmarine(enemy_submarine_0) , belowOfSubmarine(enemy_submarine_0) , rightOfSubmarine(enemy_submarine_1) , aboveOfSubmarine(enemy_submarine_1) , rightOfSubmarine(enemy_submarine_2) , aboveOfSubmarine(enemy_submarine_2) , rightOfSubmarine(enemy_submarine_3) , aboveOfSubmarine(enemy_submarine_3) , diversfull , oxygenOk , ",surface,,0.8886 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0301 0.0105 0.0023 0.0554 0.0655 0.0000 0.2286 0.0000 0.0000 0.0000 0.0000 0.0000 0.0034 0.0000 0.0000 0.0003,5.4432
RZ_2461867_10072,,,50.0,0.0,8,"player_0 , diver_0 , collected_diver_0 , collected_diver_1 , lives_0 , lives_1 , lives_2 , lives_3 , oxygen_bar_0 , enemy_submarine_0 , enemy_submarine_2 , enemy_submarine_3 , enemy_submarine_5 , enemy_submarine_6 , enemy_0 , enemy_1 , enemy_2 , ","facingRight , enemyFacingLeft(enemy_submarine_0) , enemyFacingLeft(enemy_submarine_2) , enemyFacingRight(enemy_submarine_3) , enemyFacingRight(enemy_submarine_5) , enemyFacingLeft(enemy_submarine_6) , visibleEnemy(enemy_0) , visibleEnemy(enemy_1) , visibleEnemy(enemy_2) , visibleDiver(diver_0) , visibleEnemySubmarine(enemy_submarine_0) , visibleEnemySubmarine(enemy_submarine_2) , visibleEnemySubmarine(enemy_submarine_3) , visibleEnemySubmarine(enemy_submarine_5) , visibleEnemySubmarine(enemy_submarine_6) , belowWater_surface , rightOfEnemy(enemy_0) , belowOfEnemy(enemy_0) , belowOfEnemy(enemy_1) , belowOfEnemy(enemy_2) , rightOfSubmarine(enemy_submarine_0) , belowOfSubmarine(enemy_submarine_0) , leftOfSubmarine(enemy_submarine_2) , belowOfSubmarine(enemy_submarine_2) , leftOfSubmarine(enemy_submarine_3) , aboveOfSubmarine(enemy_submarine_3) , leftOfSubmarine(enemy_submarine_5) , aboveOfSubmarine(enemy_submarine_5) , leftOfSubmarine(enemy_submarine_6) , belowOfSubmarine(enemy_submarine_6) , rightOfDiver(diver_0) , belowOfDiver(diver_0) , diversNotfull , oxygenOk , ",avoid_enemy,,0.0227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0023 0.5270 0.8201 0.0015 0.0000 0.0000 0.0000,5.1005
RZ_2461867_10957,,,50.0,90.0,1,"player_0 , diver_0 , collected_diver_0 , player_missile_0 , lives_0 , lives_1 , lives_2 , lives_3 , lives_4 , oxygen_bar_0 , enemy_0 , enemy_2 , enemy_3 , enemy_4 , enemy_5 , enemy_6 , enemy_7 , enemy_8 , enemy_10 , enemy_11 , ","facingRight , visibleEnemy(enemy_0) , visibleEnemy(enemy_2) , visibleEnemy(enemy_3) , visibleEnemy(enemy_4) , visibleEnemy(enemy_5) , visibleEnemy(enemy_6) , visibleEnemy(enemy_7) , visibleEnemy(enemy_8) , visibleEnemy(enemy_10) , visibleEnemy(enemy_11) , visibleDiver(diver_0) , belowWater_surface , leftOfEnemy(enemy_0) , aboveOfEnemy(enemy_0) , leftOfEnemy(enemy_2) , belowOfEnemy(enemy_2) , nearbyEnemy(enemy_2) , belowOfEnemy(enemy_3) , leftOfEnemy(enemy_4) , aboveOfEnemy(enemy_4) , leftOfEnemy(enemy_5) , aboveOfEnemy(enemy_5) , leftOfEnemy(enemy_6) , belowOfEnemy(enemy_6) , rightOfEnemy(enemy_7) , belowOfEnemy(enemy_7) , leftOfEnemy(enemy_8) , aboveOfEnemy(enemy_8) , leftOfEnemy(enemy_10) , belowOfEnemy(enemy_10) , rightOfEnemy(enemy_11) , belowOfEnemy(enemy_11) , leftOfDiver(diver_0) , aboveOfDiver(diver_0) , nearbyDiver(diver_0) , diversNotfull , oxygenOk , ",avoid_enemy,,0.2915 0.8433 0.0000 0.9734 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0481 0.2351 0.0001 0.0423 0.6907 0.2067 0.0000 0.0063 0.0307 0.0000,5.867
RZ_2461867_2581,,,51.0,0.0,4,"player_0 , diver_1 , collected_diver_0 , collected_diver_1 , collected_diver_2 , collected_diver_3 , collected_diver_4 , collected_diver_5 , lives_0 , lives_1 , lives_2 , oxygen_bar_0 , enemy_submarine_0 , enemy_missile_0 , enemy_0 , ","facingLeft , enemyFacingLeft(enemy_submarine_0) , visibleEnemy(enemy_0) , visibleDiver(diver_1) , visibleEnemySubmarine(enemy_submarine_0) , visibleMissile(enemy_missile_0) , belowWater_surface , rightOfEnemy(enemy_0) , aboveOfEnemy(enemy_0) , rightOfSubmarine(enemy_submarine_0) , aboveOfSubmarine(enemy_submarine_0) , rightOfMissile(enemy_missile_0) , aboveOfMissile(enemy_missile_0) , rightOfDiver(diver_1) , aboveOfDiver(diver_1) , diversfull , oxygenOk , ",surface,,0.6655 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000,4.3277
RZ_2461867_10363,,,50.0,0.0,2,"player_0 , diver_0 , diver_1 , collected_diver_0 , collected_diver_1 , collected_diver_2 , collected_diver_3 , collected_diver_4 , lives_0 , lives_1 , lives_2 , lives_3 , oxygen_bar_0 , enemy_submarine_0 , enemy_submarine_1 , enemy_submarine_2 , enemy_submarine_3 , enemy_missile_0 , enemy_0 , enemy_1 , enemy_2 , enemy_3 , enemy_4 , ","facingLeft , enemyFacingLeft(enemy_submarine_0) , enemyFacingRight(enemy_submarine_1) , enemyFacingRight(enemy_submarine_2) , enemyFacingRight(enemy_submarine_3) , visibleEnemy(enemy_0) , visibleEnemy(enemy_1) , visibleEnemy(enemy_2) , visibleEnemy(enemy_3) , visibleEnemy(enemy_4) , visibleDiver(diver_0) , visibleDiver(diver_1) , visibleEnemySubmarine(enemy_submarine_0) , visibleEnemySubmarine(enemy_submarine_1) , visibleEnemySubmarine(enemy_submarine_2) , visibleEnemySubmarine(enemy_submarine_3) , visibleMissile(enemy_missile_0) , belowWater_surface , leftOfEnemy(enemy_0) , aboveOfEnemy(enemy_0) , leftOfEnemy(enemy_1) , belowOfEnemy(enemy_1) , leftOfEnemy(enemy_2) , aboveOfEnemy(enemy_2) , leftOfEnemy(enemy_3) , aboveOfEnemy(enemy_3) , leftOfEnemy(enemy_4) , aboveOfEnemy(enemy_4) , belowOfSubmarine(enemy_submarine_0) , rightOfSubmarine(enemy_submarine_1) , belowOfSubmarine(enemy_submarine_1) , rightOfSubmarine(enemy_submarine_2) , belowOfSubmarine(enemy_submarine_2) , rightOfSubmarine(enemy_submarine_3) , belowOfSubmarine(enemy_submarine_3) , rightOfMissile(enemy_missile_0) , belowOfMissile(enemy_missile_0) , rightOfDiver(diver_0) , belowOfDiver(diver_0) , leftOfDiver(diver_1) , belowOfDiver(diver_1) , nearbyDiver(diver_1) , diversNotfull , oxygenOk , ",retrieve_diver,,0.4721 0.0017 0.9610 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0004 0.0000 0.0000 0.0000 0.0017 0.0236 0.0101 0.0004 0.0000 0.0012,5.805
